Date,Pays,Infections,Deces,Guerisons,TauxDeces,TauxGuerison,TauxInfection
2021-01-23,Montenegro,57929,766,49150,1.32,84.85,13.83
2021-01-23,Moldavie,155937,3347,146406,2.15,93.89,3.97
2021-01-23,Monaco,1345,9,1100,0.67,81.78,17.55
2021-01-23,Maroc,465769,8128,441693,1.75,94.83,3.42
2021-01-23,Libye,112540,1737,90952,1.54,80.82,17.64
2021-01-23,Lettonie,60496,1097,48134,1.81,79.57,18.62
2021-01-23,Luxembourg,49438,562,46656,1.14,94.37,4.49
2021-01-23,Lituanie,175851,2628,118893,1.49,67.61,30.90
2021-01-23,Lesotho,7656,123,2168,1.61,28.32,70.08
2021-01-23,Libéria,1914,84,1714,4.39,89.55,6.06
2021-01-23,Sri Lanka,57587,280,49261,0.49,85.54,13.97
2021-01-23,Liechtenstein,2437,52,2322,2.13,95.28,2.59
2021-01-23,Sainte-Lucie,770,10,412,1.30,53.51,45.19
2021-01-23,Liban,276587,2270,164348,0.82,59.42,39.76
2021-01-23,Laos,41,0,41,0.00,100.00,0.00
2021-01-23,Kazakhstan,224395,2955,194635,1.32,86.74,11.95
2021-01-23,Koweït,160901,952,153746,0.59,95.55,3.86
2021-01-23,Corée du Sud,75084,1349,62530,1.80,83.28,14.92
2021-01-23,Saint-Kitts-et-Nevis,35,0,33,0.00,94.29,5.71
2021-01-23,Comores,2260,70,1315,3.10,58.19,38.72
2021-01-23,Cambodge,458,0,405,0.00,88.43,11.57
2021-01-23,Kirghizistan,83796,1398,79772,1.67,95.20,3.13
2021-01-23,Kenya,99898,1740,82936,1.74,83.02,15.24
2021-01-23,Japon,361928,5063,285366,1.40,78.85,19.76
2021-01-23,Jordanie,319519,4217,306246,1.32,95.85,2.83
2021-01-23,Jamaïque,14772,336,11850,2.27,80.22,17.51
2021-01-23,Italie,2455185,85162,1871189,3.47,76.21,20.32
2021-01-23,Islande,5981,29,5868,0.48,98.11,1.40
2021-01-23,Iran,1367032,57294,1158475,4.19,84.74,11.07
2021-01-23,Iraq,612870,12988,579838,2.12,94.61,3.27
2021-01-23,Inde,10654533,153339,10316786,1.44,96.83,1.73
2021-01-23,Israël,593961,4341,512702,0.73,86.32,12.95
2021-01-23,Irlande,186184,2947,23364,1.58,12.55,85.87
2021-01-23,Indonésie,977474,27664,791059,2.83,80.93,16.24
2021-01-23,Hongrie,358317,11904,239880,3.32,66.95,29.73
2021-01-23,Haïti,11035,243,8982,2.20,81.40,16.40
2021-01-23,Croatie,228568,4799,220537,2.10,96.49,1.41
2021-01-23,Honduras,140238,3441,60448,2.45,43.10,54.44
2021-01-23,Hong-Kong,10009,168,8998,1.68,89.90,8.42
2021-01-23,Guyana,7222,170,6361,2.35,88.08,9.57
2021-01-23,Guinée-Bissau,2510,45,2405,1.79,95.82,2.39
2021-01-23,Guatemala,153890,5456,137711,3.55,89.49,6.97
2021-01-23,Grèce,151646,5622,93764,3.71,61.83,34.46
2021-01-23,Guinée Équatoriale,5401,86,5197,1.59,96.22,2.18
2021-01-23,Guadeloupe,9056,157,2242,1.73,24.76,73.51
2021-01-23,Guinée,14300,81,13632,0.57,95.33,4.10
2021-01-23,Gambie,3958,128,3703,3.23,93.56,3.21
2021-01-23,Gibraltar,3935,62,3194,1.58,81.17,17.26
2021-01-23,Ghana,60115,361,56955,0.60,94.74,4.66
2021-01-23,Guyane Française,15560,76,9995,0.49,64.24,35.28
2021-01-23,Géorgie,252972,3038,240629,1.20,95.12,3.68
2021-01-23,Grenade,147,1,135,0.68,91.84,7.48
2021-01-23,Royaume-Uni,3623811,97456,5632,2.69,0.16,97.16
2021-01-23,Gabon,10278,67,9902,0.65,96.34,3.01
2021-01-23,France,3026340,72497,192185,2.40,6.35,91.25
2021-01-23,Îles Féroé,652,1,644,0.15,98.77,1.07
2021-01-23,Fidji,55,2,53,3.64,96.36,0.00
2021-01-23,Finlande,42334,644,31000,1.52,73.23,25.25
2021-01-23,Éthiopie,133298,2063,118730,1.55,89.07,9.38
2021-01-23,Espagne,2499560,55441,150376,2.22,6.02,91.77
2021-01-23,Érythrée,1940,6,1304,0.31,67.22,32.47
2021-01-23,Égypte,161143,8902,126176,5.52,78.30,16.18
2021-01-23,Estonie,40184,368,29747,0.92,74.03,25.06
2021-01-23,Équateur,238232,14596,199332,6.13,83.67,10.20
2021-01-23,Algérie,105369,2861,71755,2.72,68.10,29.19
2021-01-23,République Dominicaine,202507,2513,147147,1.24,72.66,26.10
2021-01-23,Dominique,113,0,105,0.00,92.92,7.08
2021-01-23,Danemark,193947,1969,178997,1.02,92.29,6.69
2021-01-23,Djibouti,5918,61,5837,1.03,98.63,0.34
2021-01-23,Allemagne,2137691,51873,1826161,2.43,85.43,12.15
2021-01-23,République Tchèque,933361,15270,808263,1.64,86.60,11.77
2021-01-23,Chypre,29887,183,2057,0.61,6.88,92.51
2021-01-23,Cap-vert,13414,124,12646,0.92,94.27,4.80
2021-01-23,Cuba,20627,191,15881,0.93,76.99,22.08
2021-01-23,Costa Rica,189308,2518,146448,1.33,77.36,21.31
2021-01-23,Colombie,2002969,50982,1822309,2.55,90.98,6.47
2021-01-23,Chine,88991,4635,82565,5.21,92.78,2.01
2021-01-23,Cameroun,29617,462,28045,1.56,94.69,3.75
2021-01-23,Chili,694647,17854,649802,2.57,93.54,3.89
2021-01-23,Côte d'Ivoire,26612,145,24595,0.54,92.42,7.03
2021-01-23,Suisse,509279,9050,317600,1.78,62.36,35.86
2021-01-23,Congo (Brazzaville),7794,117,5846,1.50,75.01,23.49
2021-01-23,République Centrafricaine,4974,63,4885,1.27,98.21,0.52
2021-01-23,Rép. Dém. du Congo,21713,654,14903,3.01,68.64,28.35
2021-01-23,Canada,747362,18691,663552,2.50,88.79,8.71
2021-01-23,Belize,11722,290,11050,2.47,94.27,3.26
2021-01-23,Bélarus,235859,1639,220912,0.69,93.66,5.64
2021-01-23,Botswana,19654,105,15911,0.53,80.96,18.51
2021-01-23,Bhoutan,854,1,702,0.12,82.20,17.68
2021-01-23,Bahamas,8101,175,6720,2.16,82.95,14.89
2021-01-23,Brésil,8816254,216445,7775928,2.46,88.20,9.35
2021-01-23,Bolivie,199989,9927,149895,4.96,74.95,20.08
2021-01-23,Brunéi Darussalam,175,3,169,1.71,96.57,1.71
2021-01-23,Saint Barthélemy,300,1,204,0.33,68.00,31.67
2021-01-23,Bénin,3643,48,3317,1.32,91.05,7.63
2021-01-23,Burundi,1438,2,773,0.14,53.76,46.11
2021-01-23,Bahreïn,99456,367,96112,0.37,96.64,2.99
2021-01-23,Bulgarie,214696,8811,178888,4.10,83.32,12.57
2021-01-23,Burkina Faso,9967,109,7988,1.09,80.14,18.76
2021-01-23,Belgique,691854,20726,0,3.00,0.00,97.00
2021-01-23,Bangladesh,531326,8003,475899,1.51,89.57,8.93
2021-01-23,Barbade,1341,9,622,0.67,46.38,52.95
2021-01-23,Bosnie-Herzégovine,119420,4555,90691,3.81,75.94,20.24
2021-01-23,Azerbaïdjan,228688,3072,219724,1.34,96.08,2.58
2021-01-23,Australie,28766,909,25985,3.16,90.33,6.51
2021-01-23,Autriche,403512,7389,380248,1.83,94.23,3.93
2021-01-23,Argentine,1862192,46737,1646668,2.51,88.43,9.06
2021-01-23,Angola,19367,457,17249,2.36,89.06,8.58
2021-01-23,Arménie,165909,3034,154535,1.83,93.14,5.03
2021-01-23,Albanie,71441,1310,43384,1.83,60.73,37.44
2021-01-23,Antigua-et-Barbuda,195,6,162,3.08,83.08,13.85
2021-01-23,Afghanistan,54559,2373,46943,4.35,86.04,9.61
2021-01-23,Émirats Arabes Unis,274376,783,247318,0.29,90.14,9.58
2021-01-23,Andorre,9499,96,8588,1.01,90.41,8.58
2021-01-22,Andorre,9416,93,8537,0.99,90.66,8.35
2021-01-22,Émirats Arabes Unis,270810,776,243267,0.29,89.83,9.88
